average;dim;empty;max;min;simulation_time
0.0;50;0.0;0;0;nan
0.0;50;0.01;0;0;nan
0.0;50;0.02;0;0;nan
0.0;50;0.03;0;0;nan
0.0;50;0.04;0;0;nan
0.0;50;0.05;0;0;nan
0.0;50;0.06;0;0;nan
0.02;50;0.07;1;0;nan
0.02;50;0.08;1;0;nan
0.0;50;0.09;0;0;nan
0.0;50;0.1;0;0;nan
0.0;50;0.11;0;0;nan
0.0;50;0.12;0;0;nan
0.02;50;0.13;1;0;nan
0.02;50;0.14;1;0;nan
0.0;50;0.15;0;0;nan
0.0;50;0.16;0;0;nan
0.0;50;0.17;0;0;nan
0.0;50;0.18;0;0;nan
0.02;50;0.19;1;0;nan
0.12;50;0.2;2;0;nan
0.06;50;0.21;2;0;nan
0.12;50;0.22;4;0;nan
0.08;50;0.23;2;0;nan
0.1;50;0.24;2;0;nan
0.26;50;0.25;5;0;nan
0.16;50;0.26;2;0;nan
0.2;50;0.27;2;0;nan
0.5;50;0.28;6;0;nan
0.54;50;0.29;4;0;nan
0.74;50;0.3;6;0;nan
0.66;50;0.31;6;0;nan
0.68;50;0.32;4;0;nan
1.16;50;0.33;12;0;nan
1.68;50;0.34;15;0;nan
2.68;50;0.35;6;1;nan
2.98;50;0.36;9;1;nan
2.28;50;0.37;14;0;nan
1.72;50;0.38;13;0;nan
1.66;50;0.39;16;0;nan
1.92;50;0.4;16;0;nan
4.32;50;0.41;17;0;nan
35.48;50;0.42;1501;2;nan
38.94;50;0.43;1485;4;nan
9.0;50;0.44;25;2;nan
37.82;50;0.45;1445;4;nan
8.94;50;0.46;26;3;nan
11.68;50;0.47;27;5;nan
68.76;50;0.48;1352;6;nan
23.22;50;0.49;45;11;nan
49.3;50;0.5;1295;8;nan
50.58;50;0.51;1268;14;nan
65.96;50;0.52;1243;25;nan
58.7;50;0.53;1193;20;nan
83.38;50;0.54;1190;17;nan
63.5;50;0.55;1172;21;nan
132.26;50;0.56;1150;45;nan
85.18;50;0.57;151;58;nan
175.46;50;0.58;1091;68;nan
299.06;50;0.59;1070;114;nan
472.52;50;0.6;1042;177;nan
630.3;50;0.61;1015;315;nan
760.92;50;0.62;993;460;nan
797.28;50;0.63;972;557;nan
848.6;50;0.64;944;645;nan
842.56;50;0.65;921;642;nan
826.66;50;0.66;892;646;nan
808.64;50;0.67;864;631;nan
773.96;50;0.68;814;708;nan
755.0;50;0.69;787;708;nan
734.28;50;0.7;761;665;nan
716.34;50;0.71;735;673;nan
686.84;50;0.72;703;651;nan
667.2;50;0.73;682;626;nan
637.78;50;0.74;650;613;nan
617.6;50;0.75;628;602;nan
594.76;50;0.76;603;574;nan
573.5;50;0.77;585;553;nan
551.36;50;0.78;557;535;nan
525.62;50;0.79;533;516;nan
495.26;50;0.8;502;484;nan
479.0;50;0.81;486;465;nan
452.76;50;0.82;458;440;nan
421.78;50;0.83;429;410;nan
399.1;50;0.84;403;390;nan
373.76;50;0.85;379;363;nan
345.62;50;0.86;350;335;nan
317.94;50;0.87;322;311;nan
304.44;50;0.88;308;299;nan
285.06;50;0.89;288;278;nan
254.4;50;0.9;258;252;nan
221.88;50;0.91;226;216;nan
195.22;50;0.92;198;190;nan
180.52;50;0.93;183;178;nan
153.0;50;0.94;154;150;nan
125.54;50;0.95;127;122;nan
101.56;50;0.96;103;98;nan
70.38;50;0.97;71;67;nan
42.84;50;0.98;43;41;nan
22.34;50;0.99;23;21;nan
0.0;50;1.0;0;0;nan
