burned;dim;empty;finalTime;forest;simulations
2500;50;0.0;100;0;"1_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"2_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"3_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"4_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"5_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"6_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"7_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"8_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"9_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"10_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"11_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"12_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"13_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"14_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"15_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"16_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"17_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"18_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"19_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"20_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"21_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"22_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"23_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"24_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"25_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"26_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"27_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"28_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"29_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"30_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"31_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"32_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"33_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"34_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"35_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"36_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"37_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"38_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"39_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"40_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"41_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"42_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"43_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"44_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"45_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"46_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"47_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"48_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"49_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"50_execution_dim_50_empty_0.0_"
2469;50;0.01;100;0;"1_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"2_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"3_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"4_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"5_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"6_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"7_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"8_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"9_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"10_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"11_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"12_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"13_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"14_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"15_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"16_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"17_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"18_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"19_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"20_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"21_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"22_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"23_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"24_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"25_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"26_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"27_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"28_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"29_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"30_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"31_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"32_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"33_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"34_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"35_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"36_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"37_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"38_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"39_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"40_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"41_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"42_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"43_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"44_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"45_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"46_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"47_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"48_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"49_execution_dim_50_empty_0.01_"
2469;50;0.01;100;0;"50_execution_dim_50_empty_0.01_"
2440;50;0.02;100;0;"1_execution_dim_50_empty_0.02_"
2440;50;0.02;100;0;"2_execution_dim_50_empty_0.02_"
2440;50;0.02;100;0;"3_execution_dim_50_empty_0.02_"
2439;50;0.02;100;0;"4_execution_dim_50_empty_0.02_"
2439;50;0.02;100;0;"5_execution_dim_50_empty_0.02_"
2440;50;0.02;100;0;"6_execution_dim_50_empty_0.02_"
2440;50;0.02;100;0;"7_execution_dim_50_empty_0.02_"
2441;50;0.02;100;0;"8_execution_dim_50_empty_0.02_"
2441;50;0.02;100;0;"9_execution_dim_50_empty_0.02_"
2441;50;0.02;100;0;"10_execution_dim_50_empty_0.02_"
2441;50;0.02;100;0;"11_execution_dim_50_empty_0.02_"
2441;50;0.02;100;0;"12_execution_dim_50_empty_0.02_"
2441;50;0.02;100;0;"13_execution_dim_50_empty_0.02_"
2441;50;0.02;100;0;"14_execution_dim_50_empty_0.02_"
2441;50;0.02;100;0;"15_execution_dim_50_empty_0.02_"
2441;50;0.02;100;0;"16_execution_dim_50_empty_0.02_"
2441;50;0.02;100;0;"17_execution_dim_50_empty_0.02_"
2441;50;0.02;100;0;"18_execution_dim_50_empty_0.02_"
2441;50;0.02;100;0;"19_execution_dim_50_empty_0.02_"
2441;50;0.02;100;0;"20_execution_dim_50_empty_0.02_"
2441;50;0.02;100;0;"21_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"22_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"23_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"24_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"25_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"26_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"27_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"28_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"29_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"30_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"31_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"32_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"33_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"34_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"35_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"36_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"37_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"38_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"39_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"40_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"41_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"42_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"43_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"44_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"45_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"46_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"47_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"48_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"49_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"50_execution_dim_50_empty_0.02_"
2420;50;0.03;100;0;"1_execution_dim_50_empty_0.03_"
2420;50;0.03;100;0;"2_execution_dim_50_empty_0.03_"
2420;50;0.03;100;0;"3_execution_dim_50_empty_0.03_"
2420;50;0.03;100;0;"4_execution_dim_50_empty_0.03_"
2420;50;0.03;100;0;"5_execution_dim_50_empty_0.03_"
2420;50;0.03;100;0;"6_execution_dim_50_empty_0.03_"
2420;50;0.03;100;0;"7_execution_dim_50_empty_0.03_"
2420;50;0.03;100;0;"8_execution_dim_50_empty_0.03_"
2420;50;0.03;100;0;"9_execution_dim_50_empty_0.03_"
2420;50;0.03;100;0;"10_execution_dim_50_empty_0.03_"
2420;50;0.03;100;0;"11_execution_dim_50_empty_0.03_"
2420;50;0.03;100;0;"12_execution_dim_50_empty_0.03_"
2420;50;0.03;100;0;"13_execution_dim_50_empty_0.03_"
2420;50;0.03;100;0;"14_execution_dim_50_empty_0.03_"
2420;50;0.03;100;0;"15_execution_dim_50_empty_0.03_"
2420;50;0.03;100;0;"16_execution_dim_50_empty_0.03_"
2420;50;0.03;100;0;"17_execution_dim_50_empty_0.03_"
2420;50;0.03;100;0;"18_execution_dim_50_empty_0.03_"
2420;50;0.03;100;0;"19_execution_dim_50_empty_0.03_"
2420;50;0.03;100;0;"20_execution_dim_50_empty_0.03_"
2420;50;0.03;100;0;"21_execution_dim_50_empty_0.03_"
2420;50;0.03;100;0;"22_execution_dim_50_empty_0.03_"
2420;50;0.03;100;0;"23_execution_dim_50_empty_0.03_"
2420;50;0.03;100;0;"24_execution_dim_50_empty_0.03_"
2419;50;0.03;100;0;"25_execution_dim_50_empty_0.03_"
2419;50;0.03;100;0;"26_execution_dim_50_empty_0.03_"
2419;50;0.03;100;0;"27_execution_dim_50_empty_0.03_"
2419;50;0.03;100;0;"28_execution_dim_50_empty_0.03_"
2419;50;0.03;100;0;"29_execution_dim_50_empty_0.03_"
2419;50;0.03;100;0;"30_execution_dim_50_empty_0.03_"
2419;50;0.03;100;0;"31_execution_dim_50_empty_0.03_"
2419;50;0.03;100;0;"32_execution_dim_50_empty_0.03_"
2420;50;0.03;100;0;"33_execution_dim_50_empty_0.03_"
2419;50;0.03;100;0;"34_execution_dim_50_empty_0.03_"
2419;50;0.03;100;0;"35_execution_dim_50_empty_0.03_"
2419;50;0.03;100;0;"36_execution_dim_50_empty_0.03_"
2419;50;0.03;100;0;"37_execution_dim_50_empty_0.03_"
2419;50;0.03;100;0;"38_execution_dim_50_empty_0.03_"
2419;50;0.03;100;0;"39_execution_dim_50_empty_0.03_"
2419;50;0.03;100;0;"40_execution_dim_50_empty_0.03_"
2419;50;0.03;100;0;"41_execution_dim_50_empty_0.03_"
2419;50;0.03;100;0;"42_execution_dim_50_empty_0.03_"
2419;50;0.03;100;0;"43_execution_dim_50_empty_0.03_"
2419;50;0.03;100;0;"44_execution_dim_50_empty_0.03_"
2419;50;0.03;100;0;"45_execution_dim_50_empty_0.03_"
2419;50;0.03;100;0;"46_execution_dim_50_empty_0.03_"
2419;50;0.03;100;0;"47_execution_dim_50_empty_0.03_"
2419;50;0.03;100;0;"48_execution_dim_50_empty_0.03_"
2419;50;0.03;100;0;"49_execution_dim_50_empty_0.03_"
2419;50;0.03;100;0;"50_execution_dim_50_empty_0.03_"
2397;50;0.04;100;0;"1_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"2_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"3_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"4_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"5_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"6_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"7_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"8_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"9_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"10_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"11_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"12_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"13_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"14_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"15_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"16_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"17_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"18_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"19_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"20_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"21_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"22_execution_dim_50_empty_0.04_"
2396;50;0.04;100;1;"23_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"24_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"25_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"26_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"27_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"28_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"29_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"30_execution_dim_50_empty_0.04_"
2397;50;0.04;100;0;"31_execution_dim_50_empty_0.04_"
2398;50;0.04;100;0;"32_execution_dim_50_empty_0.04_"
2398;50;0.04;100;0;"33_execution_dim_50_empty_0.04_"
2398;50;0.04;100;0;"34_execution_dim_50_empty_0.04_"
2398;50;0.04;100;0;"35_execution_dim_50_empty_0.04_"
2398;50;0.04;100;0;"36_execution_dim_50_empty_0.04_"
2398;50;0.04;100;0;"37_execution_dim_50_empty_0.04_"
2398;50;0.04;100;0;"38_execution_dim_50_empty_0.04_"
2398;50;0.04;100;0;"39_execution_dim_50_empty_0.04_"
2398;50;0.04;100;0;"40_execution_dim_50_empty_0.04_"
2398;50;0.04;100;0;"41_execution_dim_50_empty_0.04_"
2398;50;0.04;100;0;"42_execution_dim_50_empty_0.04_"
2398;50;0.04;100;0;"43_execution_dim_50_empty_0.04_"
2399;50;0.04;100;0;"44_execution_dim_50_empty_0.04_"
2398;50;0.04;100;0;"45_execution_dim_50_empty_0.04_"
2399;50;0.04;100;0;"46_execution_dim_50_empty_0.04_"
2399;50;0.04;100;0;"47_execution_dim_50_empty_0.04_"
2399;50;0.04;100;0;"48_execution_dim_50_empty_0.04_"
2399;50;0.04;100;0;"49_execution_dim_50_empty_0.04_"
2399;50;0.04;100;0;"50_execution_dim_50_empty_0.04_"
2380;50;0.05;100;0;"1_execution_dim_50_empty_0.05_"
2379;50;0.05;100;0;"2_execution_dim_50_empty_0.05_"
2379;50;0.05;100;0;"3_execution_dim_50_empty_0.05_"
2379;50;0.05;100;0;"4_execution_dim_50_empty_0.05_"
2379;50;0.05;100;0;"5_execution_dim_50_empty_0.05_"
2379;50;0.05;100;0;"6_execution_dim_50_empty_0.05_"
2379;50;0.05;100;0;"7_execution_dim_50_empty_0.05_"
2379;50;0.05;100;0;"8_execution_dim_50_empty_0.05_"
2379;50;0.05;100;0;"9_execution_dim_50_empty_0.05_"
2380;50;0.05;100;0;"10_execution_dim_50_empty_0.05_"
2379;50;0.05;100;0;"11_execution_dim_50_empty_0.05_"
2379;50;0.05;100;0;"12_execution_dim_50_empty_0.05_"
2379;50;0.05;100;0;"13_execution_dim_50_empty_0.05_"
2379;50;0.05;100;0;"14_execution_dim_50_empty_0.05_"
2379;50;0.05;100;0;"15_execution_dim_50_empty_0.05_"
2379;50;0.05;100;0;"16_execution_dim_50_empty_0.05_"
2379;50;0.05;100;0;"17_execution_dim_50_empty_0.05_"
2379;50;0.05;100;0;"18_execution_dim_50_empty_0.05_"
2379;50;0.05;100;0;"19_execution_dim_50_empty_0.05_"
2379;50;0.05;100;0;"20_execution_dim_50_empty_0.05_"
2379;50;0.05;100;0;"21_execution_dim_50_empty_0.05_"
2379;50;0.05;100;0;"22_execution_dim_50_empty_0.05_"
2379;50;0.05;100;0;"23_execution_dim_50_empty_0.05_"
2379;50;0.05;100;0;"24_execution_dim_50_empty_0.05_"
2380;50;0.05;100;0;"25_execution_dim_50_empty_0.05_"
2379;50;0.05;100;0;"26_execution_dim_50_empty_0.05_"
2378;50;0.05;100;0;"27_execution_dim_50_empty_0.05_"
2377;50;0.05;100;0;"28_execution_dim_50_empty_0.05_"
2377;50;0.05;100;0;"29_execution_dim_50_empty_0.05_"
2377;50;0.05;100;0;"30_execution_dim_50_empty_0.05_"
2377;50;0.05;100;0;"31_execution_dim_50_empty_0.05_"
2377;50;0.05;100;0;"32_execution_dim_50_empty_0.05_"
2377;50;0.05;100;0;"33_execution_dim_50_empty_0.05_"
2377;50;0.05;100;0;"34_execution_dim_50_empty_0.05_"
2377;50;0.05;100;0;"35_execution_dim_50_empty_0.05_"
2377;50;0.05;100;0;"36_execution_dim_50_empty_0.05_"
2378;50;0.05;100;0;"37_execution_dim_50_empty_0.05_"
2378;50;0.05;100;0;"38_execution_dim_50_empty_0.05_"
2378;50;0.05;100;0;"39_execution_dim_50_empty_0.05_"
2378;50;0.05;100;0;"40_execution_dim_50_empty_0.05_"
2378;50;0.05;100;0;"41_execution_dim_50_empty_0.05_"
2378;50;0.05;100;0;"42_execution_dim_50_empty_0.05_"
2378;50;0.05;100;0;"43_execution_dim_50_empty_0.05_"
2378;50;0.05;100;0;"44_execution_dim_50_empty_0.05_"
2378;50;0.05;100;0;"45_execution_dim_50_empty_0.05_"
2378;50;0.05;100;0;"46_execution_dim_50_empty_0.05_"
2377;50;0.05;100;0;"47_execution_dim_50_empty_0.05_"
2377;50;0.05;100;0;"48_execution_dim_50_empty_0.05_"
2377;50;0.05;100;0;"49_execution_dim_50_empty_0.05_"
2377;50;0.05;100;0;"50_execution_dim_50_empty_0.05_"
2358;50;0.06;100;0;"1_execution_dim_50_empty_0.06_"
2358;50;0.06;100;0;"2_execution_dim_50_empty_0.06_"
2358;50;0.06;100;0;"3_execution_dim_50_empty_0.06_"
2358;50;0.06;100;0;"4_execution_dim_50_empty_0.06_"
2359;50;0.06;100;0;"5_execution_dim_50_empty_0.06_"
2358;50;0.06;100;0;"6_execution_dim_50_empty_0.06_"
2358;50;0.06;100;0;"7_execution_dim_50_empty_0.06_"
2358;50;0.06;100;0;"8_execution_dim_50_empty_0.06_"
2359;50;0.06;100;0;"9_execution_dim_50_empty_0.06_"
2358;50;0.06;100;0;"10_execution_dim_50_empty_0.06_"
2358;50;0.06;100;0;"11_execution_dim_50_empty_0.06_"
2359;50;0.06;100;0;"12_execution_dim_50_empty_0.06_"
2359;50;0.06;100;0;"13_execution_dim_50_empty_0.06_"
2358;50;0.06;100;0;"14_execution_dim_50_empty_0.06_"
2358;50;0.06;100;0;"15_execution_dim_50_empty_0.06_"
2359;50;0.06;100;0;"16_execution_dim_50_empty_0.06_"
2359;50;0.06;100;0;"17_execution_dim_50_empty_0.06_"
2359;50;0.06;100;0;"18_execution_dim_50_empty_0.06_"
2359;50;0.06;100;0;"19_execution_dim_50_empty_0.06_"
2359;50;0.06;100;0;"20_execution_dim_50_empty_0.06_"
2359;50;0.06;100;0;"21_execution_dim_50_empty_0.06_"
2359;50;0.06;100;0;"22_execution_dim_50_empty_0.06_"
2359;50;0.06;100;0;"23_execution_dim_50_empty_0.06_"
2360;50;0.06;100;0;"24_execution_dim_50_empty_0.06_"
2361;50;0.06;100;0;"25_execution_dim_50_empty_0.06_"
2361;50;0.06;100;0;"26_execution_dim_50_empty_0.06_"
2359;50;0.06;100;1;"27_execution_dim_50_empty_0.06_"
2358;50;0.06;100;1;"28_execution_dim_50_empty_0.06_"
2358;50;0.06;100;1;"29_execution_dim_50_empty_0.06_"
2358;50;0.06;100;1;"30_execution_dim_50_empty_0.06_"
2359;50;0.06;100;1;"31_execution_dim_50_empty_0.06_"
2359;50;0.06;100;1;"32_execution_dim_50_empty_0.06_"
2359;50;0.06;100;1;"33_execution_dim_50_empty_0.06_"
2359;50;0.06;100;1;"34_execution_dim_50_empty_0.06_"
2360;50;0.06;100;1;"35_execution_dim_50_empty_0.06_"
2360;50;0.06;100;1;"36_execution_dim_50_empty_0.06_"
2360;50;0.06;100;1;"37_execution_dim_50_empty_0.06_"
2360;50;0.06;100;1;"38_execution_dim_50_empty_0.06_"
2360;50;0.06;100;1;"39_execution_dim_50_empty_0.06_"
2360;50;0.06;100;1;"40_execution_dim_50_empty_0.06_"
2360;50;0.06;100;1;"41_execution_dim_50_empty_0.06_"
2360;50;0.06;100;1;"42_execution_dim_50_empty_0.06_"
2360;50;0.06;100;1;"43_execution_dim_50_empty_0.06_"
2360;50;0.06;100;1;"44_execution_dim_50_empty_0.06_"
2360;50;0.06;100;1;"45_execution_dim_50_empty_0.06_"
2360;50;0.06;100;1;"46_execution_dim_50_empty_0.06_"
2360;50;0.06;100;1;"47_execution_dim_50_empty_0.06_"
2360;50;0.06;100;1;"48_execution_dim_50_empty_0.06_"
2359;50;0.06;100;1;"49_execution_dim_50_empty_0.06_"
2360;50;0.06;100;1;"50_execution_dim_50_empty_0.06_"
2336;50;0.07;100;1;"1_execution_dim_50_empty_0.07_"
2337;50;0.07;100;1;"2_execution_dim_50_empty_0.07_"
2336;50;0.07;100;1;"3_execution_dim_50_empty_0.07_"
2336;50;0.07;100;1;"4_execution_dim_50_empty_0.07_"
2336;50;0.07;100;1;"5_execution_dim_50_empty_0.07_"
2336;50;0.07;100;1;"6_execution_dim_50_empty_0.07_"
2336;50;0.07;100;1;"7_execution_dim_50_empty_0.07_"
2336;50;0.07;100;1;"8_execution_dim_50_empty_0.07_"
2336;50;0.07;100;1;"9_execution_dim_50_empty_0.07_"
2336;50;0.07;100;1;"10_execution_dim_50_empty_0.07_"
2336;50;0.07;100;1;"11_execution_dim_50_empty_0.07_"
2336;50;0.07;100;1;"12_execution_dim_50_empty_0.07_"
2337;50;0.07;100;1;"13_execution_dim_50_empty_0.07_"
2336;50;0.07;100;1;"14_execution_dim_50_empty_0.07_"
2336;50;0.07;100;1;"15_execution_dim_50_empty_0.07_"
2335;50;0.07;100;1;"16_execution_dim_50_empty_0.07_"
2335;50;0.07;100;1;"17_execution_dim_50_empty_0.07_"
2335;50;0.07;100;1;"18_execution_dim_50_empty_0.07_"
2336;50;0.07;100;1;"19_execution_dim_50_empty_0.07_"
2336;50;0.07;100;1;"20_execution_dim_50_empty_0.07_"
2336;50;0.07;100;1;"21_execution_dim_50_empty_0.07_"
2336;50;0.07;100;1;"22_execution_dim_50_empty_0.07_"
2336;50;0.07;100;1;"23_execution_dim_50_empty_0.07_"
2337;50;0.07;100;1;"24_execution_dim_50_empty_0.07_"
2337;50;0.07;100;1;"25_execution_dim_50_empty_0.07_"
2337;50;0.07;100;1;"26_execution_dim_50_empty_0.07_"
2339;50;0.07;100;0;"27_execution_dim_50_empty_0.07_"
2339;50;0.07;100;0;"28_execution_dim_50_empty_0.07_"
2339;50;0.07;100;0;"29_execution_dim_50_empty_0.07_"
2339;50;0.07;100;0;"30_execution_dim_50_empty_0.07_"
2339;50;0.07;100;0;"31_execution_dim_50_empty_0.07_"
2339;50;0.07;100;0;"32_execution_dim_50_empty_0.07_"
2340;50;0.07;100;0;"33_execution_dim_50_empty_0.07_"
2339;50;0.07;100;0;"34_execution_dim_50_empty_0.07_"
2339;50;0.07;100;0;"35_execution_dim_50_empty_0.07_"
2339;50;0.07;100;0;"36_execution_dim_50_empty_0.07_"
2340;50;0.07;100;0;"37_execution_dim_50_empty_0.07_"
2340;50;0.07;100;0;"38_execution_dim_50_empty_0.07_"
2340;50;0.07;100;0;"39_execution_dim_50_empty_0.07_"
2340;50;0.07;100;0;"40_execution_dim_50_empty_0.07_"
2340;50;0.07;100;0;"41_execution_dim_50_empty_0.07_"
2340;50;0.07;100;0;"42_execution_dim_50_empty_0.07_"
2340;50;0.07;100;0;"43_execution_dim_50_empty_0.07_"
2340;50;0.07;100;0;"44_execution_dim_50_empty_0.07_"
2340;50;0.07;100;0;"45_execution_dim_50_empty_0.07_"
2340;50;0.07;100;0;"46_execution_dim_50_empty_0.07_"
2340;50;0.07;100;0;"47_execution_dim_50_empty_0.07_"
2340;50;0.07;100;0;"48_execution_dim_50_empty_0.07_"
2339;50;0.07;100;0;"49_execution_dim_50_empty_0.07_"
2339;50;0.07;100;0;"50_execution_dim_50_empty_0.07_"
2312;50;0.08;100;0;"1_execution_dim_50_empty_0.08_"
2312;50;0.08;100;0;"2_execution_dim_50_empty_0.08_"
2308;50;0.08;100;4;"3_execution_dim_50_empty_0.08_"
2311;50;0.08;100;1;"4_execution_dim_50_empty_0.08_"
2311;50;0.08;100;1;"5_execution_dim_50_empty_0.08_"
2308;50;0.08;100;4;"6_execution_dim_50_empty_0.08_"
2312;50;0.08;100;0;"7_execution_dim_50_empty_0.08_"
2312;50;0.08;100;0;"8_execution_dim_50_empty_0.08_"
2312;50;0.08;100;0;"9_execution_dim_50_empty_0.08_"
2312;50;0.08;100;0;"10_execution_dim_50_empty_0.08_"
2312;50;0.08;100;0;"11_execution_dim_50_empty_0.08_"
2312;50;0.08;100;0;"12_execution_dim_50_empty_0.08_"
2312;50;0.08;100;0;"13_execution_dim_50_empty_0.08_"
2312;50;0.08;100;0;"14_execution_dim_50_empty_0.08_"
2312;50;0.08;100;0;"15_execution_dim_50_empty_0.08_"
2312;50;0.08;100;0;"16_execution_dim_50_empty_0.08_"
2312;50;0.08;100;0;"17_execution_dim_50_empty_0.08_"
2312;50;0.08;100;0;"18_execution_dim_50_empty_0.08_"
2312;50;0.08;100;0;"19_execution_dim_50_empty_0.08_"
2312;50;0.08;100;0;"20_execution_dim_50_empty_0.08_"
2312;50;0.08;100;0;"21_execution_dim_50_empty_0.08_"
